role_normalized,seniority,country_name,n_records,median_salary,min_salary,max_salary,std_salary
Data Scientist,Entry,United States,7,90000.0,58000.0,105000.0,16031.0
Data Analyst,Lead,United States,7,156000.0,101960.0,290000.0,60328.0
Data Engineer,Senior,United Kingdom,7,96282.0,65438.0,114047.0,18420.0
Data Scientist,Lead,United States,6,194273.0,115000.0,222545.0,52206.0
Data Manager,Manager,United States,6,107371.0,92301.0,147500.0,20393.0
BI Analyst,Manager,United States,6,166000.0,110000.0,200950.0,30604.0
Data Scientist,Junior,United States,6,99500.0,88400.0,102500.0,5044.0
Data Scientist,Entry,Germany,5,63831.0,49268.0,76833.0,11511.0
Data Scientist,Mid,Germany,5,88654.0,25532.0,90734.0,28071.0
Data Analyst,Executive,United States,5,135000.0,110000.0,175000.0,24238.0
Data Scientist,Principal,United States,5,193500.0,163900.0,247750.0,32805.0
Data Engineer,Entry,United States,5,72500.0,65000.0,120000.0,22192.0
Data Engineer,Executive,United States,5,242000.0,200000.0,600000.0,165568.0
Data Analyst,Senior,Canada,5,71786.0,61300.0,130000.0,35970.0
Data Analyst,Mid,United Kingdom,5,51519.0,39263.0,65438.0,9685.0
Data Manager,Executive,United States,5,235000.0,167875.0,325000.0,56585.0
ML Engineer,Manager,United States,5,210000.0,122000.0,259625.0,52646.0
ML Engineer,Entry,United States,5,138000.0,81000.0,250000.0,71068.0
Data Scientist,Mid,India,5,31615.0,9466.0,40481.0,12819.0
BI Analyst,Lead,United States,4,130775.0,124550.0,145600.0,10288.0
Data Scientist,Entry,France,4,44781.0,36643.0,51321.0,7204.0
Data Scientist,Entry,India,4,23421.0,5707.0,29751.0,11121.0
ML Engineer,Lead,United States,4,187250.0,174500.0,300000.0,59722.0
Research Scientist,Senior,Spain,4,211475.0,169200.0,253750.0,48815.0
Data Engineer,Manager,United States,4,186250.0,103000.0,200250.0,45847.0
Data Engineer,Mid,Greece,4,71445.0,49461.0,87932.0,16411.0
Data Analyst,Mid,Canada,4,75000.0,70912.0,85000.0,5999.0
AI Engineer,Senior,United States,4,175379.0,125000.0,195000.0,33015.0
Data Scientist,Staff,United States,4,187383.0,167500.0,208000.0,21791.0
Data Scientist,Senior,Germany,3,162674.0,148261.0,173762.0,12787.0
Data Engineer,Staff,United States,3,201178.0,173250.0,261100.0,44886.0
Data Architect,Senior,Canada,3,99703.0,90700.0,192400.0,56298.0
BI Analyst,Mid,United States,3,120640.0,97250.0,120640.0,13504.0
Data Engineer,Director,United States,3,224500.0,224500.0,254900.0,17551.0
Data Scientist,Director,United States,3,222545.0,185500.0,231395.0,24348.0
Data Analyst,Intern,United States,3,52000.0,41600.0,56160.0,7500.0
ML Engineer,Entry,Germany,3,24823.0,15966.0,85000.0,37562.0
Data Scientist,Senior,France,3,77684.0,53192.0,152000.0,51455.0
Data Scientist,Mid,Canada,3,69336.0,54238.0,75774.0,11054.0
Data Analyst,Mid,Greece,3,32974.0,20000.0,43966.0,11997.0
Data Analyst,Mid,India,3,18442.0,6072.0,19609.0,7501.0
ML Engineer,Mid,Japan,3,74000.0,63711.0,77364.0,7113.0
Data General,VP,United States,3,225000.0,162300.0,255000.0,47301.0
ML Engineer,Senior,Canada,3,117104.0,78791.0,225000.0,75814.0
Data Engineer,Entry,India,3,21637.0,16228.0,30428.0,7167.0
Data Engineer,Entry,Germany,3,58035.0,54742.0,65013.0,5245.0
BI Analyst,Director,United States,3,205000.0,181000.0,265000.0,43267.0
Data Scientist,Senior,Canada,3,103691.0,87738.0,127221.0,19862.0
Data Architect,Mid,United States,3,170000.0,150000.0,180000.0,15275.0
