idx,title,company,location,time_ago,horari,salary_min_raw,salary_max_raw,job_type,experience,salario_min_anual,salario_max_anual,salario_medio_anual,is_data,is_it_software,is_tech,region,location_normalized,gdp_per_capita,total_remote_jobs,remote_share,premium_salarial_regional,role_category,experience_level,comunidad_autonoma,salario_bruto_anual_est,ine_tech_avg_2024,regional_multiplier,poblacion_ccaa_2026
10,Gerente de Auditoría de sistemas de información y analista de datos,Grant Thornton España,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
11,Data Analyst,SDG Group Iberia,"Barcelona, Cataluña, España",hace 3 horas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
12,Pricing Data Analyst,MANGO,"Palau-solità i Plegamans, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"palau-solità i plegamans, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
13,"Global Analytics,Data and Automation Scientist",Alcon,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
14,Data Scientist,Ocado Technology,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
15,"Data Scientist,Software Development-ESP",CloudBlue,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
16,Data Scientist - Digital Finance Hub,Novartis España,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
17,Data Scientist,Chi Square Analytics,"Barcelona, Cataluña, España",hace 1 semana,50.000 £/yr - 65.000 £/yr · Jornada completa · Intermedio,50000.0,65000.0,Jornada completa,Intermedio,50000.0,65000.0,57500.0,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,2.011192724728926,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
18,Advanced Analytics Analyst,Sanofi,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
19,Data Analyst - Routing (GlovoMaps),Glovo,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
20,Data Scientist,Siemens Energy,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
21,Product Data Scientist,Preply,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
22,Data Scientist (m/f/d),ZF Group,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
23,Data Scientist,eDreams ODIGEO,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
24,Data Scientist,Kraz (Viko Group),"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
25,Data & Applied Scientist II - WebXT,Microsoft,"Barcelona, Cataluña, España",hace 5 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
26,Data Scientist - Eternal Games,King,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
27,"Global Analytics,Data and Automation Scientist",Alcon,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
28,Data Scientist,Sanofi,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
29,Data analyst,Sanofi,"Barcelona, Cataluña, España",hace 3 meses,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
30,Data Analytics,Deloitte,"Barcelona, Cataluña, España",hace 2 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
31,Data Scientist,Allianz Technology,Barcelona y alrededores,hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
32,Data Scientist (Experimentation),Adevinta,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
33,DATA SCIENTIST,CaixaBank Tech,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
34,Data Scientist Intern,Roche,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
35,Data scientist,Softonic,"Barcelona, Cataluña, España",hace 4 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
36,Data Analyst,Deloitte,"Barcelona, Cataluña, España",hace 2 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
37,Analista Predictivo/a,Zurich Insurance,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
38,Data analyst,Sanofi,"Barcelona, Cataluña, España",hace 2 meses,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
39,Data Scientist,Werfen,"Lliçà d'Amunt, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"lliçà d'amunt, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Total Nacional,42000.0,42741.94,1.0,49570725
40,Auditor/a Junior de Sistemas de información y Analista de Datos,Grant Thornton España,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
41,Actuario Data Scientist,VidaCaixa,"Barcelona, Cataluña, España",hace 4 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
42,Data Scientist,Zurich Insurance,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
43,Data Scientist - Casual Games,Voodoo,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
44,Data Analyst,Bayer,"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
45,Analista de Datos,LLYC,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
46,"Data Scientist,Marketing",Wallapop,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
47,Data Scientist Personalization,MANGO,"Palau-solità i Plegamans, Cataluña, España",hace 2 días,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"palau-solità i plegamans, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Total Nacional,42000.0,42741.94,1.0,49570725
48,Energy Markets Data Scientist,Siemens Energy,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
49,Data Scientist / BI Consultant,Robert Walters,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
50,Data Mgmt Analyst,Sanofi,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
51,Game Data Scientist,Socialpoint,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
52,Junior Business Intelligence Support Specialist,Zurich Insurance,"Barcelona, Cataluña, España",hace 11 horas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
53,Business/Data Analyst (Power BI),Morgan Philips Group,"Barcelona, Cataluña, España",hace 1 mes,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
54,Consultor Junior Business Intelligence & Analytics,EY,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
55,Data Analyst Expert,TDCX,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
56,Junior Data Engineer,Sogeti,Barcelona y alrededores,hace 3 horas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,barcelona y alrededores,28590.0,488.0,0.2663934426229508,,data_engineer,Junior,Cataluna,33297.1,42741.94,1.0741,8208894
57,Data Analyst,Dow Jones,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
58,Big Data Engineer,Dell Technologies,España,hace 13 horas,Jornada completa,,,Jornada completa,,,,,True,True,True,,españa,,,,,data_engineer,Mid,Total Nacional,43500.0,42741.94,1.0,49570725
59,Data Scientist,Zurich Insurance,"Barcelona, Cataluña, España",hace 5 horas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_scientist,Mid,Cataluna,45112.2,42741.94,1.0741,8208894
60,Data Engineer,Deloitte,"Barcelona, Cataluña, España",hace 4 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
61,Data Analyst - Partners & Brands (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
62,Privacy Operations Data Analyst,HP,"Sant Cugat del Vallès, Cataluña, España",hace 6 días,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
63,Analista Predictivo,Zurich Insurance,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,False,False,False,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
64,Data Analyst,Fenarc,"Barcelona, Cataluña, España",hace 2 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
65,Data Analyst - Partner Ops Excellence (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
66,Senior Data Analyst,GBfoods (Corporate Brand of Gallina Blanca),"Barcelona, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
67,Reporting Data Analyst,Brico Depôt Iberia (Grupo Kingfisher),"Barcelona, Cataluña, España",hace 2 días,Temporal · Sin experiencia,,,Temporal,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
68,Data Analyst,MANGO,"Palau-solità i Plegamans, Cataluña, España",hace 3 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"palau-solità i plegamans, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Total Nacional,36500.0,42741.94,1.0,49570725
69,Data Analyst - Fraud (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
70,Data Engineer,CaixaBank Tech,"Barcelona, Cataluña, España",hace 4 días,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
71,Senior Reporting Data Analyst,Zurich Insurance,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
72,Reporting Data Analyst/Developer,PPG,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa,,,Jornada completa,,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
73,Data Analyst (Power BI & SQL),Michael Page,"Barcelona, Cataluña, España",hace 4 semanas,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
74,Consultor BI Microsoft,,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
75,GO! Graduate IoT & Data Analysis,Essity,"Barcelona, Cataluña, España",hace 1 día,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
76,Data Analyst,Grupo Planeta,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
77,Senior Data Analyst - vpTech Data team,Veepee,"Barcelona, Cataluña, España",hace 2 meses,Jornada completa · Algo de responsabilidad,,,Jornada completa,Algo de responsabilidad,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Cataluna,52630.9,42741.94,1.0741,8208894
78,Analist funcional BI,TSD Consulting,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,backend,Mid,Cataluna,38130.55,42741.94,1.0741,8208894
80,Data Analyst (m|f|d) at Dein Traumjob wartet!,join.com,"Barcelona, Cataluña, España",hace 1 día,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
81,Data Engineer,Pronovias,"Barcelona, Cataluña, España",hace 2 horas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,True,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_engineer,Mid,Cataluna,46723.35,42741.94,1.0741,8208894
82,Data Analyst - Scheduling (They/She/He),Glovo,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
83,Game Data Analyst,Socialpoint,"Barcelona, Cataluña, España",hace 2 semanas,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
84,Desarrollador Big Data (Girona),Accenture España,"Barcelona, Cataluña, España",hace 3 días,Jornada completa · Intermedio,,,Jornada completa,Intermedio,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
85,Incubation Senior Finance & Data Analyst,HP,"Sant Cugat del Vallès, Cataluña, España",hace 1 mes,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"sant cugat del vallès, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Senior,Total Nacional,49000.0,42741.94,1.0,49570725
86,GO! Graduate IT & Data Analysis,Essity,"Barcelona, Cataluña, España",hace 1 día,Jornada completa,,,Jornada completa,,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Junior,Cataluna,27926.6,42741.94,1.0741,8208894
87,Data Analyst - A/B testing,eDreams ODIGEO,"Barcelona, Cataluña, España",hace 1 semana,Jornada completa · Sin experiencia,,,Jornada completa,Sin experiencia,,,,True,False,True,Catalonia,"barcelona, cataluña, españa",28590.0,488.0,0.2663934426229508,,data_analyst,Mid,Cataluna,39204.65,42741.94,1.0741,8208894
